,Tweet,Label
0,Congratulations @BrahMosMissile team for 25 years of glorious service to the nation. BrahMos with enhanced range and advanced capabilities is today a formidable weapon with world class precision strike capabilities. #ResoluteStrides Make in India to Make for the World.,Technology
1,"SemEval (the International Workshop on Semantic Evaluation) is an ongoing series of evaluations of computational semantics systems, organized under the umbrella of SIGLEX the Special Interest Group on the Lexicon of the Association for Computational Linguistics.",Technology
2,"#DRDOUpdates | In SemEval 2023 Task 2: Multilingual Complex Named Entity Recognition (MultiCoNER II), DRDO #CAIR NLP team secured top rankings in global ACL competition.
@DefenceMinIndia 
@SpokespersonMoD",Technology
3,"A panel discussion on ""The Perspectives of Research and Development in Aerospace and Defence Sectors in India for next 25 years"" will also be held. https://t.co/wf7VbOYCNM",Technology
4,"Many eminent keynote speakers from #DRDO, @IAF_MCC, @HALHQBLR, international organisations and premier academic institutions will participate to provide insights about cutting edge technologies and advancement in the Aerospace and Defence sector.",Technology
5,"#DRDOUpdates | As a prequel to #AeroIndia2023, an International Seminar is being organized on the theme ‘Aerospace and Defence Technologies - Way Forward’ by CABS, DRDO in association with Aeronautical Society of India on 12 Feb 2023.
@DefenceMinIndia
@SpokespersonMoD https://t.co/dGfQSHnVau",Technology
6,"#DRDOUpdates | Witness the path-breaking technologies on Combat Aircrafts and UAVs during #AeroIndia2023 in DRDO Hall 'D', Yelahanka Air Force Station.
@DefenceMinIndia
@SpokespersonMoD https://t.co/yuUtrgV8xr",Technology
7,"#DRDOUpadtes | #AeroIndia2023
Aerial coverage of Ground and Air display captured from indigenously developed Medium Altitude Long Endurance TAPAS UAV during rehearsal from height of 12000feet today. 
@PMOIndia 
@DefenceMinIndia 
@SpokespersonMoD https://t.co/VeRfLJdkSE",Technology
8,"#DRDOUpdates | Experience the #futuristic technologies on Sensors, Electronic Warfare and Communication Systems during #AeroIndia2023 in DRDO Hall 'D', Yelahanka Air Force Station.
@DefenceMinIndia
@SpokespersonMoD https://t.co/YQoeEgFts5",Technology
9,"#DRDOUpdates | Come witness the glorious 'Flying Display' of DRDO's developed products during #AeroIndia2023 at Yelahanka Air Force Station, Bengaluru 
@DefenceMinIndia
@SpokespersonMoD https://t.co/Bra8gZbgD3",Technology
10,https://t.co/2UY9V2wUmU,Technology
11,"#DRDOUpdates | #DRDO is participating in the 14th edition of #AeroIndia2023 from 13-17 Feb at Yelahanka Air Force Station, Bengaluru. Visit us at Hall 'D' to witness the full gamut of DRDO developed defence &amp; aerospace systems &amp; technologies.
@DefenceMinIndia 
@SpokespersonMoD https://t.co/unDvz6W3Em",Technology
12,"The Contract for Procurement was signed with #DRDO Development Cum Production Partner (DcPP)  @larsentoubro on 08 Feb, 2023 at an estimated cost of ₹2,585 Cr.",Technology
13,"#DRDOUpdates | @DefenceMinIndia has approved proposal for indigenous manufacturing of 41 sets of #DRDO designed &amp; developed Modular Bridges for the Corps of Engineers of @adgpi 
 @SpokespersonMoD https://t.co/GjMNVS1xVM",Technology
14,"As a part of Cyber Jagrukta Diwas programme, a talk on ""Cyber Security &amp; Law - Govt Officers Perspective"" by Dr Pavan Duggal, Advocate, Supreme Court of India was organized at DRDO Hqrs, New Delhi. Chairman DRDO highlighted the need of strengthening cyber security at all level. https://t.co/WkkIQWFtnx",Technology
15,"The leaders were also briefed about the role played by academia &amp; industry in defence R&amp;D, DRDO-Industry-Academia CoEs, International collaborations etc. An specially curated exhibition by SSPL &amp; INMAS was visited by them followed by interaction with senior scientist.",Technology
16,"#DRDOUpdates | 27 young leaders from 08 countries visited DRDO today as part of 7th Batch of Gen-Next Democracy Network Programme of ICCR. They were briefed about Indian S&amp;T ecosystems and technologies &amp; products developed by DRDO.
@DefenceMinIndia 
@SpokespersonMoD https://t.co/yFSTWCHw3r",Technology
17,"#DRDOUpdates | On #MartyrsDay, #DRDO fraternity pays homage to the 'Father of the Nation', #MahatmaGandhi. Also, we salute our great freedom fighters whose strong values continue to inspire our scientists to overcome modern day challenges.
@DefenceMinIndia 
@SpokespersonMoD https://t.co/nmi8xrKrLb",Technology
18,"The first indigenously developed Wheeled Armoured Platform, WhAP 8X8, being carried on another indigenously developed specialist 70 ton trailer is also on display at Kartavya Path. https://t.co/dSnipuhsfW",Technology
19,"#DRDOUpdates | Experience #DRDO tableau showcasing indigenous defence capabilities on the theme ""Securing Nation with Effective Surveillance, Communication and Neutralising Threats"" at Kartavya Path. 
#RepublicDay2023
#AatmanirbharBharat 
@DefenceMinIndia 
@SpokespersonMoD https://t.co/YWmxUWzzAw",Technology
20,"#DRDOUpdates | On the occasion of 74th #RepublicDay2023, #DRDO fraternity extends its greetings to the nation. We pay our humble gratitude to the leaders of our great country and remain committed to cause of #aatmanirbharbharat in #defence.
@DefenceMinIndia 
@SpokespersonMoD https://t.co/4IBuim21NQ",Technology
21,"#DRDOUpdates | #DRDO and @navalgroup_IN extend their cooperation to enter into the detailed design phase for integration of indigenous Air Independent Propulsion  System in the Kalvari class submarines.
@DefenceMinIndia 
@SpokespersonMoD 

https://t.co/SP7zcNy3zf https://t.co/oedmTgXzbt",Technology
22,"#DRDOUpdates | On the 127th birth anniversary of #NetajiSubhashChandraBose, #DRDO fraternity pays tribute to the indomitable spirit and selfless contribution of Netaji to India’s freedom movement.
#ParakramDiwas 
@DefenceMinIndia 
@SpokespersonMoD https://t.co/43sOOVNYOz",Technology
23,"#DRDOUpdates | Under the theme, ‘Together we grow’, CVRDE Chennai is organising a 3 day Young Scientist Meet for 200 young scientists. The event was inaugurated by Dr Samir Kamat, Secretary DDR&amp;D &amp; Chairman DRDO wherein he emphasised on the need of cyber vigilance in DRDO. https://t.co/IhzRabcVGY",Technology
24,Anti Drone System is state of art technology designed to protect our critical assets and has capability of both Hard Kill and Soft kill options. The system has proven its worth by successful deployment and critical validation by our Armed Forces.,Technology
25,"#DRDOUpdates | DRDO was conferred with Best Anti Drone Technology Award under Make in India Category during the 14th International Conference cum Awards for Civil Aviation organised by Assocham. The award was received by Director General ECS
@DefenceMinIndia 
@SpokespersonMoD https://t.co/AzEJ0K6StC",Technology
26,"#DRDOUpdates | On the occasion of 75th #ArmyDay, #DRDO salutes all the bravehearts and their families. Their spirit of selfless service and supreme sacrifices forms the bedrock for protecting our great nation.
@DefMinIndia 
@AjaybhattBJP4UK 
@SpokespersonMoD 
@adgpi https://t.co/pBEEuKzGjc",Technology
27,"The MoU will facilitate conducting of research on technology and warfare strategies involving all the stakeholders in the Armed Forces, Industry, Academia and Government.",Technology
28,"#DRDOUpdates | #DRDO and Centre for Joint Warfare Studies (CENJOWS) today signed an MoU to establish mutual cooperation in understanding the role of #technology for national security and synchronised the defence research with emerging needs.
@DefenceMinIndia 
@SpokespersonMoD https://t.co/Gepy427jLm",Technology
29,"#DRDOUpdates | Parliamentary Standing Committee on Defence visited #DefenceLaboratory, Jodhpur on study tour today. Hon’ble Chairman of the committee and members evinced keen interest in live demo of chaff technology, defence products &amp; were briefed on the ongoing projects. https://t.co/sWjIn9Chrq",Technology
30,"#DRDOUpdates | Pride of India Expo witnessed enthusiastic participation from young students &amp; researchers. For showcasing wide range of defence products &amp; insightful deliberations, DRDO Pavilion was adjudged as Most #Innovative Pavilion during 108th #ISC 
@SpokespersonMoD https://t.co/B4188KC3S0",Technology
31,"The recent advances and emerging research areas in asymmetric warfare, quantum, artificial intelligence, cyber physical systems and cognitive technologies were discussed during the DRDO plenary session.",Technology
32,"Prof S Chaudhury, Director IIT Jodhpur, Dr R Paul, IIT Delhi, Sh P S Prasad, Director DYSL-AT, DRDO and Prof R P Singh, PRL Ahmedabad were the eminent  speakers.",Technology
33,"#DRDOUpdates | During the 108th #IndianScienceCongress, #DRDO plenary session on 'Front line areas of research in strategic sector' was held today. The session was chaired by Shri Hari Babu  Shrivastava, DG (TM &amp; SAM)
@DefenceMinIndia 
@SpokespersonMoD https://t.co/05xKdysvZA",Technology
34,"#DRDOUpdates | #DRDO is participating in 108th #IndianScienceCongress, Nagpur from 3-7 Jan 2023. Technologies related to armaments &amp; combat systems, electronics &amp; communications, life sciences, naval systems, missiles are being displayed.
@DefenceMinIndia 
@SpokespersonMoD https://t.co/3C6gZoFrPt",Technology
35,"Chairman DRDO also released a monograph on Infrared Signatures, Sensors &amp; Technologies, bi-monthly bulletin-InSights, DRDO Technology Foresight, Stores Manual guidelines 2023 and a book comprising of articles on defence technologies (25 in english &amp; 25 in hindi) https://t.co/kTnnPDadry",Technology
36,"#DRDOUpdates | On the occasion of 65th #DRDODay Secretary DDR&amp;D &amp; Chairman DRDO, Dr S V Kamat addressed #DRDO fraternity today at DRDO Bhawan &amp; reaffirmed DRDO's commitment towards R&amp;D excellence &amp; develop cutting-edge technologies for #Atmanirbharta in Defence 
@SpokespersonMoD https://t.co/6EfejkR3lt",Technology
37,"Under this collaboration, a Doppler Weather Radar will be installed at Banihal Top in J&amp;K which is first of its kind at such an altitude in this region.",Technology
38,"#DRDOUpdates | DGRE has entered into MoU with India Meteorological Department(IMD), Ministry of Earth Sciences on R&amp;D related to the mitigation of mountain hazards over the North West Himalayan region.
@DefenceMinIndia 
@SpokespersonMoD https://t.co/jPI3wT8afw",Technology
39,"#DRDOUpdates | On 52nd anniversary of #VijayDiwas, #DRDO commemorates the armed forces for their valour and sacrifice to win the 1971 war. This event is a golden chapter in our history and will remain an inspiration to our future generations.
@DefenceMinIndia
@SpokespersonMoD https://t.co/kSAs3dhiII",Technology
40,"The workshop was inaugurated by Dr U K Singh DG Life Science. On the occasion Dr Chandrika Kaushik DG (PC&amp;SI) &amp; Mr Terence Emmert PDCTO(MC) in the OUSD(R&amp;E), U.S. Department of Defence shared their perspectives in their keynote address
@SpokespersonMoD",Technology
41,"#DRDOUpdates | INMAS is organising a three-day Indo-US joint workshop (13th-15th Dec 2022) covering the current developments and challenges in Human-Machine Teaming. The workshop will also explore collaborative areas in the field between the two countries.
@DefenceMinIndia https://t.co/XcdHzq3EGE",Technology
42,"#DRDOUpdates | Indo-US JTG Co-chair Dr. Chandrika Kaushik , DG(PC&amp;SI) hosted Mr Terry Emmert, PDCTO(MC), U.S Co-chair in New Delhi. The bilateral meeting focused on strengthening R&amp;D collaborations &amp; explore new areas of mutual interests.
@DefenceMinIndia 
@SpokespersonMoD https://t.co/ORvpDLT7HG",Technology
43,"#DRDOUpdates | DFRL,Mysuru is organising national conference on “Futuristic Strategies for Sustainment of Troops in Different Terrains” from 7-9 Dec. It will bring researchers, tri-services, industry &amp; academia together to discuss on issues &amp; solution
@SpokespersonMoD https://t.co/HibkMQVYAu",Technology
44,"#DRDOUpdates | On #ArmedForcesflagday, Secretary DD R&amp;D &amp; Chairman DRDO, Dr Samir V Kamat &amp; #DRDO fraternity extend their deep gratitude to our ex-servicemen &amp; their families who have fought valiantly &amp; made supreme sacrifices to safeguard country's honour.
@SpokespersonMoD https://t.co/B9gLZP3wkj",Technology
45,"DRDOUpdates | India's TAPAS UAV, #designed &amp; #developed by Aeronautical Development Establishment (ADE), Bengaluru for tri-services has successfully achieved #milestone flight test of 18 hours at Aeronautical Test Range, Chitradurga
#AatmanirbharDefence
@DefenceMinIndia",Technology
46,"#DRDOUpdates | As a part of #NavyDay2022 celebrations, Hon’ble President of India, Smt Droupadi Murmu virtually inaugurated National Open Air Range (NOAR) facility on 4th Dec from Vishakhapatnam. The facility is established by #DRDO at Kurnool.
@rashtrapatibhvn 
@SpokespersonMoD https://t.co/N5zPrcSqOK",Technology
47,"#DRDOUpdates | Secretary DD R&amp;D &amp; Chairman DRDO, Dr Samir V Kamat and #DRDO fraternity extends their best wishes to all ranks of @indiannavy &amp; their families on the occasion of #NavyDay2022. We salute their supreme valour, courage &amp; commitment to defend maritime borders of India. https://t.co/scz6qgl1jL",Technology
48,"#DRDOUpdates | DRDO hands over Authority Holding Sealed Particulars of Akash Weapon System (Indian Army Version) to Missile Systems Quality Assurance Agency

https://t.co/GGBDW7nq3f

@DefenceMinIndia 
@SpokespersonMoD https://t.co/Pzlc8vEMFM",Technology
49,"#DRDOUpdates | Swachhata Pakhwada is being celebrated at #DRDO from 1-15 Dec 2022. On this occasion Secretary DDR&amp;D and Chairman DRDO administered the Swachhata Pledge to the scientist &amp; staff of the DRDO Bhawan.
@SpokespersonMoD https://t.co/zCDINB9iyo",Technology
50,"#DRDOUpdates | #DRDO participated in Humanitarian Assistance and Disaster Relief (HADR) exercise - SAMANVAY 2022 exhibition held on 29-30 Nov 2022 in Agra. Products &amp; technologies related to disaster relief management were displayed by various DRDO labs. 
@DefenceMinIndia https://t.co/QRqOiuXaEW",Technology
51,"#DRDOUpdates | #DRDO fraternity celebrated #ConstitutionDay at DRDO Bhawan &amp; labs wherein scientists &amp; staff read the preamble and participated in a quiz. They reaffirmed their pledge to protect the #Constitutional values among citizens.
@DefenceMinIndia 
@SpokespersonMoD https://t.co/cf6y36zKSJ",Technology
52,"#DRDOUpdates | Ambassador of France in India had a call-on meeting  with Secretary DDR&amp;D and Chairman DRDO at DRDO Bhawan today regarding ongoing R&amp;D collaborations and opportunities for future cooperation.
@DefenceMinIndia 
@SpokespersonMoD https://t.co/PRgQsbjIKG",Technology
53,"On the occasion #DRDO also organised National level competition for ideas on ‘Life support technologies for enhancing combat efficiency under different terrains of North East India’ at Tezpur and DRDO Kisan-Jawan-Vigyan Mela at Tawang.
@DefenceMinIndia 
@SpokespersonMoD https://t.co/FBLq0Csso3",Technology
54,"#DRDOUpdates | DRL,Tezpur commemorated its Diamond Jubilee Year &amp; Lab Raising day on 21 Nov 2022. VC of Cotton University was the Chief Guest and District &amp; Sessions Judge Sonitpur was the Guest of Honour. Dignitaries from army &amp; paramilitary forces also graced the occasion https://t.co/HS9sEjaZBQ",Technology
55,"#DRDOUpdates | Shri Ajay Kumar Bhalla, Union Home Secretary and Dr Samir V Kamat, Secretary DDR&amp;D and Chairman DRDO today released a compendium consisting of more than 100 technologies, systems &amp; products developed by DRDO for Low Intensity Conflict Operations. 
@DefenceMinIndia https://t.co/ByoaGNCTK2",Technology
56,"#DRDOUpdates | DRDO organised National Carrom Championship 17th-18th Nov at SSPL, Delhi. Ceremony graced by star athletes of CWG 2022 Lawn Bowl gold medalist Pinki Singh &amp; silver medalist Navneet Singh. More than 100 players participated in the event from different labs of DRDO https://t.co/quoqPhGzaV",Technology
57,"During the event, Lt Gen R M Gupta, DCIDS (Med) &amp; Lt Gen R K Malhotra, DGQA delivered the keynote address wherein they educated the audience on major trends in Chem-Biodefence such as big data, bio defence, cyber biosecurity &amp; their utilities in defence sector.
@SpokespersonMoD https://t.co/qK2hQlUTFE",Technology
58,"#DRDOUpdates | DRDE Gwalior is organising National Conference on ‘Chem-Bio Defence: Futuristic Tools and Technologies’ from 16-18 Nov. The conference was inaugurated by Dr U K Singh, DG LS with wide participation of DRDO scientists, service personal, academia &amp; industry https://t.co/eKHXXziWlc",Technology
59,"#DRDOUpdates | Committee on Estimates held discussion with DRDO &amp; MoD and reviewed various ongoing projects and activities. Committee also shown interest in various Missile Systems &amp; Sub-Systems exhibited at DRDL Hyderabad.

@SpokespersonMoD https://t.co/EfGIMdGHw9",Technology
60,"#DRDOUpdates | #DRDO is displaying export ready homegrown technologies in 9th edition of Indo Defence Expo and Forum (IDEF) from 2-5 Nov 2022 in Jakarta, Indonesia. Exhibits include LCA Tejas, AEW&amp;C, BVVR Astra, Akash, Weapon Locating Radar etc.
#MakeInIndiaMakeForTheWorld https://t.co/Z9f1h7THwm",Technology
61,"#DRDOUpdates | DRDO conducts successful maiden flight-test of Phase-II Ballistic Missile Defence interceptor off Odisha coast

@PMOIndia 
@DefenceMinIndia 
@SpokespersonMoD 

https://t.co/R8ZYoCyMZ8 https://t.co/hHYOvYNinz",Technology
62,"#DRDOUpdates | Huge public footfall for #DRDO displayed products during #DefExpo22. Here are some of the highlights of their visit.

#PathToPride
@DefenceMinIndia 
@SpokespersonMoD https://t.co/dHlLHEp5FY",Technology
63,"#DRDOUpdates |  Dare to Dream 3.0 contest winners were awarded at #DefExpo2022 by Hon'ble Raksha Mantri Shri Rajnath Singh on 20th October 2022. 

#PathToPride 
@DefenceMinIndia 
@SpokespersonMoD https://t.co/z6ngV2PVot",Technology
