,Tweet,Label
0,"Fans from every corner of the globe uniting in Morocco 🇲🇦

Thank you to everyone who was a part of the #ClubWC 🙌

#FootballUnitesTheWorld https://t.co/scZLKYB7oz",Sports
1,"Football brings us joy, passion, peace and love ❤️

Over the past 11 days, fans from every corner of the globe have united in Morocco for the #ClubWC 🌍

#FootballUnitesTheWorld https://t.co/hHTYAlHyKa",Sports
2,"“Our aim is to create a more welcoming, inclusive environment for football fans who come to FIFA matches globally.""

Since 2015, FIFA, together with @farenet, has been operating an anti-discrimination monitoring system at FIFA events around the world.

Find out how it works:",Sports
3,"The finalists are in for each category for #TheBest FIFA Football Awards! 🏆

The winners will be announced at #TheBest ceremony on 27 February.

Who would you like to see named #TheBest?",Sports
4,@NormanMaroto 👏,Sports
5,"The countdown is on to the FIFA U-20 World Cup! 🏆

With 100 days to go until the tournament kicks off in Indonesia, a special event was held today to mark the milestone:",Sports
6,"It was a record-breaking transfer window across men’s and women’s football.

Check out the latest International Transfer Snapshot, which analyses player transfer activity during the recent registration period:",Sports
7,"How does FIFA help club executives around the world develop their industry knowledge? 🌍

The FIFA Diploma in Club Management equips them with the latest insights from football industry experts ✅

Find out more about the latest module, which took place in Tangier this week:",Sports
8,@FootballAUS @OurGameAUS @GettySport @abcsport @aleaguewomen @FIFAWWC Congratulations to everyone selected! Wishing you all the best for the program 🙌,Sports
9,"No player should suffer discriminatory abuse when playing football. 

Ahead of the FIFA #ClubWC, players from all participating teams came together to say #NoDiscrimination. 

https://t.co/81AxY97XIr",Sports
10,"Qualification for @FIFAWWC ✅
Winners of the African Schools Champions Cup 🏆

At both senior and youth level, women's football in Morocco is on the rise 🇲🇦🙌",Sports
11,@M10 ❤️,Sports
12,"@CAF_Online @ghanafaofficial @ChristianAtsu20 Wishing you a speedy recovery, @ChristianAtsu20! 🙏",Sports
13,@Merihdemiral @Cristiano @ahbap 👏,Sports
14,"@HNS_CFF All of our thoughts are with Miroslav's family, friends and everyone at @HNS_CFF. May he rest in peace.",Sports
15,"@YMSkulubu Sending our deepest condolences to Ahmet’s family, friends and everyone at @YMSkulubu. Rest in peace, Ahmet.",Sports
16,"#FootballUnitesTheWorld at the #ClubWC! 🌍

@Flamengo fans from all over the world unite in Tangier 🇲🇦 for the semi-finals 😍 https://t.co/pTFxZwtL3L",Sports
17,"@FAWales @Cymru A fantastic international career. Congratulations, Joe! 👏",Sports
18,"Bringing people together in passion, in love, in peace, in hope and in joy. ❤️⚽️

Players from the #ClubWC teams came together before the tournament started to celebrate how #FootballUnitesTheWorld.

https://t.co/1eecp6RAbo",Sports
19,@RBLeipzig_EN Huge respect! 👏,Sports
20,"@DFB_Frauen Congratulations on a great international career, Leonie! 👏",Sports
21,"FIFA 🤝 growing the beautiful game in Macau 🇲🇴

FIFA Forward funding is supporting the construction of a new member association headquarters in downtown Macau 🙌

Find out more:",Sports
22,@SC_ESPN ❤️,Sports
23,"""Our thoughts and prayers are with the victims and with those who have been injured in this tragedy. 

""We would like to express our solidarity and support to the people of both countries during this terrible time.""",Sports
24,"FIFA President Gianni Infantino: ""On behalf of the global football community, I would like to extend my deepest condolences to the families and friends of those who have lost their lives at the earthquakes in Türkiye and Syria.""",Sports
25,@ManUtd Never forgotten 🌹,Sports
26,@BelgianReferees 🙌,Sports
27,@thijsslegers Sending love and strength ❤️,Sports
28,"For the first time ever in a FIFA competition, referees at the #ClubWC will be explaining VAR decisions to spectators and the TV audience through their microphone.

This will be part of a 12-month trial. Chairman of the FIFA Referees Committee Pierluigi Collina explains more:",Sports
29,"FIFA Football for Schools helps children from all over the world learn life skills through football 🙌

Find out more about the programme:

https://t.co/5B4cfgR4Rg",Sports
30,"The latest country to embrace the FIFA Football for Schools programme: Comoros! 🇰🇲

40 coaches and 130 children took part in the launch event, as Comoros becomes the first country in the Indian ocean to take part in the programme ✅",Sports
31,"@FIFAWorldCup Congratulations, @AlAhly! 👏",Sports
32,"@FIFAWorldCup @Alhilal_FC Congratulations, @Alhilal_FC!",Sports
33,@FIFAWorldCup @SoundersFC 👏👏👏,Sports
34,"Standing together to say #NoDiscrimination. 

During the #ClubWC, FIFA and @WHO will reinforce the message that there is no place for discrimination of any kind, anywhere. https://t.co/81AxY98vxZ",Sports
35,"FIFA 🤝 helping to develop footballing talent all over the world 

One year on from its launch, a look at the key facts and figures from the FIFA Talent Development Scheme 🔍 https://t.co/sz8clEQJ8D",Sports
36,"How does FIFA help to develop young footballing talent around the world? 🌍

FIFA's Talent Development Scheme equips member associations with the knowledge, training and funding to develop their young talent. 

After launching #OnThisDay last year, find out more about its impact: https://t.co/qI9mIUymrV",Sports
37,"The power of football ❤️

Thousands of fans gathered to see @Flamengo off to the #ClubWC!

#FootballUnitesTheWorld

https://t.co/LlyJsLd9rK",Sports
38,@DrTedros @AlAhlyEnglish @AucklandCity_FC @Flamengo_en @Flamengo @WACofficiel @Alhilal_EN @SoundersFC Thank you for your collaboration and support! ❤️,Sports
39,"With less than six months to go until the @FIFAWWC, find out how the match officials are finetuning their training through FIFA's preparatory seminars:",Sports
40,"Making an impact through football 🙌

FIFA has continued its partnership with the @WHO to promote two campaigns throughout the duration of the #ClubWC: #FootballUnitestheWorld and #NoDiscrimination.",Sports
41,"It's your last chance to vote in #TheBest FIFA Football Awards! 🏆

From coaches and footballers to the fans, the awards annually honour the most outstanding achievements of the world's most popular sport. 

Have your say before voting closes tomorrow:",Sports
42,@raphaelvarane @equipedefrance Félicitations pour une carrière fantastique 👏,Sports
43,@AlAhlyEnglish Congratulations 👏,Sports
44,"Football brings people together like nothing else. 

Ahead of the first FIFA tournament of the year — the FIFA #ClubWC — captains from the participating teams came together to celebrate how #FootballUnitesTheWorld 🌍 https://t.co/1eecp6RAbo",Sports
45,"From chemistry professor 👩‍🔬 to FIFA referee ⚽️ ... Kathryn Nesbitt's story is incredible.

After making history as the first woman to officiate a Round of 16 match at the men's #FIFAWorldCup in Qatar, the #ClubWC and @FIFAWWC are the next tournaments in her sights.",Sports
46,"FIFA and the Court of Arbitration for Sport have established a specific legal aid fund for football, in order to provide assistance to football stakeholders appealing cases before the CAS.

Find out more here about the fund, which began operating from today:",Sports
47,"@SpursOfficial Wishing you a speedy recovery, Antonio 🙏",Sports
48,"2023 = a huge year for football in New Zealand 🇳🇿

On the eve of the #ClubWC, @AucklandCity_FC midfielder @CameronHowieson looks ahead to his nation hosting a FIFA tournament later this year: the @FIFAWWC 🙌 https://t.co/YcdhD3zOP7",Sports
49,"#MondayMotivation... the FIFA #ClubWC starts this week! 🏆 

Head to @FIFAWorldCup for full updates on the tournament 🏆 https://t.co/VkL9WaAdcm",Sports
50,"💪 Double the number of Rwandan girls playing football 
🏆 Organise more elite competitions
⚽️ Guarantee a coherent programme for the women's game from grassroots to the elite

In collaboration with FIFA, @FERWAFA unveiled its four-year plan for women's football in Rwanda 🙌",Sports
51,@Wrexham_AFC @steaddotphotos ❤️,Sports
52,@BlackYellow @HallerSeb 👏👏👏,Sports
53,"""Having Pia here has been very powerful. The programme has changed my life.""

U20 @USWNT Head Coach @TraceyKevins spent this week with @SelecaoFeminina Head Coach @PiaSundhage in Los Angeles, as part of FIFA’s Women's Coach Mentorship Programme.

What have they both learned?",Sports
54,"Find out how the Europe-based referees, assistant referees and video match officials heading to this year's @FIFAWWC have been preparing for the tournament with a preparatory seminar in Doha this week:",Sports
55,@BelgianReferees 👏,Sports
56,"Global football transfers are on the rise 📈🌍

Did you know that there were more than twice as many amateur transfers as professional transfers in 2022? 📈

Find out more in the Global Transfer Report:",Sports
57,"Don’t forget, you have until February 3 to vote for your favourite strike of 2022 ahead of this year’s #TheBest Awards: https://t.co/mIr3DU8P0V https://t.co/miypBEqH9w",Sports
58,"Another early contender for the 2023 Puskás Award from @SDHuesca defender @pulido_24?! 😱

https://t.co/z4dEuOyb96",Sports
59,"@Socceroos @awermabil17 Huge congratulations, @awermabil17 👏",Sports
60,"Introducing... FIFA Digital Skills! 📲

From best practice case studies to analysis of latest technological trends, representatives from FIFA's 211 member associations now have access to a dedicated e-learning platform to develop their digital skills.

Find out more:",Sports
61,"A pilot phase will last for twelve months, with 60 schools from four different regions invited to take part. 

If the process goes well, the number of regions in Thailand will increase to 24 in two years, with 360 schools eventually being enrolled in the programme 🙌 https://t.co/d9JKYFr3t9",Sports
62,"As part of the programme, FIFA has delivered more than 38,900 footballs to schools across Thailand. https://t.co/gjKYrg3NdJ",Sports
